"name","website","telephone","fax","description"
"Albwardy Marine Engineering ","www.albwardymarine.com","+971  9 222 8040","+971 9 222 8619","Since 1978 Albwardy Marine Engineering has been providing a complete package of professional ship repair, shipbuilding and marine engineering services from our fully equipped shipyards in Dubai and Fujairah and from workshops in Salalah (Oman).\nSynchro Lift          Length     Beam     Lifting capDubai Synchro Lift 1     42 m     12.9 m     345 tDubai Synchro Lift 2     102 m     24.0 m     2,530 tDubai Synchro Lift 3     85 m     20.0 m     3,000 tDubai Synchro Lift 4     125 m     30.0 m     6,000 t\nTravel Lift            Length     Beam     Lifting capFujairah Travel Lift     35 m     7.0 m     170 t\nAME Repairs Division Fujairah:                                                                Address : inside Port of Fujairah                                                                   Tel : 00971  9 222 8040 Fax: 00971 9 222 8619                                             Email: fuj.repairs@albwardymarine.com\nDiving Department/Fujairah\nE-mail: diving@albwardymarine.com\n     Phone +971 (4)324 10 01     (Current local time: 16:07)     Fax +971 (4)324 10 05     Email sales@albwardymarine.com\nPO Box 6515Al JadafDubaiU.A.E"
"Onomichi Colombo Dockyard PLC. Sri Lanka ","www.cdl.lk","+ 94 11 2 429000 + 94 11 2 522461 - 5 (5 lines)","","Colombo Dockyard Limited (CDL) enjoys an enviable reputation as one of South East Asia's leading ship repairers and builders. The port of Colombo in sun-drenched Sri Lanka is home to CDL. The ability to conduct business from within the port of Colombo gives CDL a strategic advantage and has proven to be a boon to ship owners.\nDry docking of vessels up to 125,000 DWTMajor repairs on hull and machineryRoutine and special surveysRejuvenation, modifications, conversions and upgrading of vessels meeting classification society requirements Colombo Dockyard, with its fully equipped workshops, is geared to cater to all types of shiprepairs, including machinery repairs, hull repairs, propeller repairs, electrical repairs, electronic and automation repairs, cargo gear repairs, as well as internal tank/cargo hold blasting and coating.\n    The heart of the Colombo Dockyard operation lies in its four graving docks from where all the action flows.\n 213m x 26.0m x  9.7m dwt 30000  50 t 107m x 18.0m x  6.7m dwt 9000  50 (Building Dock) 122m x 16.0m x  5.5m dwt 8000  10  263m x 44.0m x  8.9m dwt 125000 50"
"DALES MARINE SERVICES ABERDEEN UK ","www.dalesmarine.co.uk","+44 (0) 1224 212778 (24/7)","+44 (0) 1224 212779","With six strategically placed dry docks in key locations across Scotland, Dales Marine is conveniently located to offer unrivalled ship repair and maintenance services to the offshore and energy industries.\nDales Marine boasts one of the largest dry docks in the UK and is one of the few companies which can dock vessels over 100 metres in length in five of it's six docks. This provides greater flexibility and a capability to cater for large and complex projects.\nOperating 24 hours a day, seven days a week, Dales Marine is best placed to handle emergency repairs along with scheduled maintenance and repair work. All dry dock facilities are run by a team of experienced management and time-served professionals providing reliability and quality on every project.\nFacilities also include four workshops with overhead cranes, 3-12 tonne forklifts and state-of-the-art equipment to maximise and extend the performance of clients vessels.\nTo find the best location for your vessel try out the dry dock calculator on our homepage.\nThe dry docks available for you areAberdeen Dry Dock: 112m x 21m x 6.5m Leith Dry Dock: 168m x 21.3m x 7.7m Greenock :  Dry dock services Layby berth  Grangemouth dry dock: 105m x 16m Structural steel fabrication Troon Dry Dock: 120m x 17m"
"Odessos Shiprepair Yard S.A. i. Varna  Bulgaria ","www.odessos-yard.bg","+359 52 601 107","+359 52 608 289","ODESSOS Shiprepair Yard S.A. is situated at the southern end of the city of Varna, on the island between the old and new canals connecting Black Sea and the Lake of Varna and is about one mile far from the mouth of Port Varna.\nSpread over an area of about 320,000 square meters, Odessos is the largest well equipped yard in Bulgaria suitable for repair and drydocking of vessels up to 35,000 DWT and afloat repairs of vessels up to 150,000 DWT.\nFacilities\nGraving Dock 240 27,0m Graving Dock 240m 27,0mFloating Dock 160m 27, Lifting 12.00tFloating Dock 219m 36,2, Lifting 20.000t"
"Desan Shipyards Turkey ","www.desan-shipyard.com","+90.216.3952025","+90.216.3956943","We effect repairs, conversions & newbuildings. Our expanded facilities and increased capacity allows us to provide our clients with higher flexibility, better quality and greater efficiency, no matter the size of the project.\nThe necessity to optimize terms and minimize costs of the executed projects, while ensuring our high standards, is assured through our efficient management system, which is our strongest point, built on our considerable shipping experience spanning decades and generations.\nOur aim is to go beyond ordinary, to create a strong business relationship, dealing ethically with our customers, competitors, employees and suppliers.\nToday with this knowledge, DesanYardgem United Shipyards represents a reliable partnership with all its clients for repairs or new buildings and serves them with many years of expertise and co-operation in a pristine, newly equipped yard.\nREPAIR GIANT WITH 4 FLOATING DOCKS\nDesanYardgem UnitedShipyards can accommodate up to post panamax size of vessels in a dedicated floating docks for repair & conversion.\nDOCKING FACILITIES\nPosition in Tuzla BayDock 1 Type Steel: Concrete, Max. Lifting Cap: 8.500 tons, LOA: 155 m, Width: 35 m, Inside Free Width: 24 m, Winches: 2x5 t \nDock 2: Type Steel:Steel, Max. Lifting Cap: 12.500 t, Width: 32 m, Inside Free Width:26 m, Winches: 2x10 t,\n \nPosition in Tuzla Bay \nDock 3 : Type Steel, Max. Lifting Cap: 20.000 t, LOA: 230 m, Width: 45 m, Inside Free Width; 37 m, Winches: 2x15/20 t\nDock 4 Dock: Type:Steel, Max. Lifting Cap:49.000 t, LOA: 234 m, Width: 51 m, Inside Free Width: 41 m, Winches: 2x15 t"
"GERMAN DRYDOCKS ex Rickmers Lloyd Dockbetrieb GmbH Germany ","www.germandrydocks.com","+49 (0)4 71 48 01-0","+49 (0)4 71 48 01-40","The shipyard of the well-equipped Rickmers Lloyd Dockbetrieb is located centrally at the Kaiserhafen in Bremerhaven. Our core business is focused on:     Ship repairs, ship conversions    Repairs of main and auxiliary engines    Repairs of ship components    24 hour service.\nOur floating dock, located opposite the Kaiserschleuse entering the Kaiserhafen in Bremerhaven, has a load carrying capacity of 7.200 t and permits the docking of ships up to 150 m length and 20.5 m width. It has two cranes of 5 and 10 tons as well as a wharf crane with a 60-ton capacity.\nDocking of larger units is done in cooperation with adjacent Lloyd Werft, our parent company. If necessary we have two drydocks – Lloyd Kaiserdocks I and II – and the floating dock III available."
"INTERNATIONAL SHIP REPAIR  Tampa Florida USA ","www.internationalship.com","+1-813.247.1118","+1-813.247.6553","Strategically located in the Port of Tampa, ISR’s West Central Florida location on the Gulf of Mexico (GOM) is close to main shipping routes and rapidly expanding markets in Central and South America and beyond. The entrance to Tampa Bay and the Port of Tampa is easily navigable for vessels of all sizes. The Port of Tampa is the largest port in the state of Florida, and International Ship Repair is well positioned to provide maintenance and repair services to all vessels who enter Tampa Bay.\nFacility 1  (main yard)\n    600 Foot Full Service 32′ deep    Berth for vessels to 780 feet    10,000 Square Foot\nFacility 2\n    1,000 Foot Repair/Lay    Berthing Area with water,    electric, and phone services available\nFacility 3\n    PreFabrication/Conversion Yard    600 Foot Repair Berth for repair of vessels to 500′ with complete services\nFacility 4\n    800 Foot Repair/Lay Berthing Area    with limited services available\nFacility 5\n    500 Foot Repair/Lay Berthing    Area with limited services available\n1616 Penny StreetTampa, FL 33605Phone:813.247.1118Fax:813.247.6553"
"ZAMAKONA Shipyard Bilbao ","www.zamakonayards.com","34 944 618 200 / 34 944 937 030","34 944 612 580","ZAMAKONA Shipyard Bilbao has undertaken the latest concepts in design and construction, as well as technological advances in engineering and naval architecture, to meet the needs of its clients relating to the construction of all types of vessels such as anchor handling vessels, supply vessels, standby and field support vessels, live fish carriers, fishing vessels, freighters, oil tankers, dredges and barges. Zamakona Shipyard Bilbao has vast experience in the construction of vessels: AHTS, PSV, Standby Vessels, Tugs, Live Fish Carriers, Pelagic Trawlers and Purse Seiner.\nWater depth (about): 8 m.General offices:: 570 m2Offices for Surveyors: 120 m2 - with telephone, fax, toilets, shower and laundry facilities.Assembly workshop: 3.780 m2 + 15.500 m2General workshop: 900 m2 + 500 m2 External Docks: 150 mts. Cranes:  - 15 gantry cranes (workshops), 10/60 t  - 3 outfitting quay (mobile) cranes of 8 t  - 4 outfitting quay (mobile) cranes of 15/60 t  - Any kind of mobile crane (incl. skyhorses) on request. Slipways:  - 1 slipway for vessels up to 5.500 t, 140 m x 25 m (cradle with winch).  - 1 Slipway for vessels up to 4.300 t, 120 m x 22 m (cradle with winch) Cutting machine:  - 1 with CAD/CAM/CAP  - 1 plasma steel cutting, mod. Praxair Porta 4000 DR  - 1 oxygen/acetylene , mod. Praxair  - Pipe Bending Machine: 1 with CAD-CAM system.\nZamakona Shipyard BilbaoPuerto pesquero s/n - 48980 Santurce. Bilbao - SPAIN\nPhones: 34 944 618 200 / 34 944 937 030Fax:        34 944 612 580"
"Adriatic Shipyard Bijela Serbia - Montenegro ","www.asybijela.com","+ 382 (0)31 671-050","+ 382 (0)31 671-080","The ""Adriatic Shipyard Bijela"" is the biggest shiprepairing yard in the Southern Adriatic. It is located in Boka Kotorska bay, one of the safest natural harbours in the world, and has centuries long shipbuilding and maritime tradition.\nThe Shipyard was established in 1927, and nowadays it has a large experience and extraordinary human, expert and technical capacities. Its most modern management guarantees the contracted deals will be reliably accomplished with the uncompromising quality, competitive prices and terms, in accordance with the the regulations of the world's most prominent Classification Societies.\nDock No.6 184,0 m 165,0 m  10,000 tDock No. 12 250,0 m 44,0 m  33,000 t"
"MEC Balboa Dry Docks Panama Balboa ","www.mecpanama.com","+507 314-0179 +507 6672-6066","(+507 314-0180","Since the beginning of 2013 the local repair company “Marine Engineers Corporation” (MEC) Group is the new operator of the well-known Balboa Shipyard, which is conveniently located in the Port of Balboa at the pacific entrance of the Panama Canal. The facility has three graving docks, one of them having Panamax size, and over 12,000 square meters of workshops.\nMEC Group has also another smaller dock facility on the pacific site which consists of a slipway with craddles capacity up to 100 meters in length and 25 meters in beam. This yard has up to 12 positions for vessels of different lengths and beams, and a transfer system to locate the vessels on the more than 15,000 m2 of yard area.\nMEC Group is also experienced with afloat ship repair which could be offered in Canal waters from the Atlantic to the Pacific site.\nDock     Length/beam (m)     Entrance (m)     Max. Draft (m)     Keel block hight (m)     CranesDock No. 1     318 x 39     33.6     7.9     1.75     Mobile Cranes up to 35 tDock No. 2     130 x 30.5     25.9     6.4     1.75     Shore Cranes up to 45 tDock No. 3     70 x 16.8     16.8     4.3     1.46"
"Sefine Shipyard Turkey ","www.sefine.com.tr","+90 226 815 36 36","+90 226 815 36 37","Sefine Shipyard is holding the leadership in the new favorite destination of ship owners’ and shipping companies’, Altinova/TURKEY with splendid investments and magnificent financial power of main partner KOLIN Construction, Tourism Industry & Trading Co. Inc., at the backstage.\nSefine is now at your service for repair works with the new glamorous investment: 240 x 42 x 9 m. dry dock; the point of attraction for Handy, Handymax, Panamax and Aframax vessels.\nGRAVING DOCK240 m length x 42 m beam – Up to Post panamax size vessel capacity.\nSLIPWAY160 m length x 60 m beam – 2 vessels.\nQUAY2Total 650 m length – 8 ships capacity – Avarage depth is 7 meters.\nShip Repair\nShip Repair & Maintenance Having the biggest dry dock in Altinova, SEFINE is ready for international competition for repair and reconstruction. The Sefine Dry Dock, is presently served by a tower crane with 3.2 tons at 60 meters capacity; and two additional Portal Jib Cranes of 25 t. capacity each and one Gantry Crane of 2x60 ton capacity is under construction.\nShip Conversions\nHaving the biggest dry dock in va, SEFINE is ready for international competition for repair and reconstruction."
"Oman Drydock Company S.A.O.C. ","www.omandrydock.com","+968-2452 0222","+968-2452 0360","Oman Drydock Company S.A.O.C. (ODC) has been established in September 2006 by the Government of Sultanate Oman (GOSO) with its 100% stake under the Master Plan of Duqm area which is propelling by GOSO to aim diversification of industry structure and regionally balanced growth in Oman.\nLocation  :  Located in Duqm, Al Wusta Region, Oman, located in the southeast corner of the Arabian Peninsula.Shipyard Area  :  1,156,000m2Ship Repair Capacity  :  Repair up to ULCC-sized ships and all kind of conversions.Manpower  :  About 4,500 PersonsDock Capacity  :  410m(L) × 95m(B)  ---- Dock No.1 (Graving Dock)                            410m(L) × 80m(B)  ---- Dock No.2 (Graving Dock)                            300m(L) × 70m(B)  ---- Dock No.3 (Floating Dock) - FutureBerthing Facilities  :  3,600m (5 Berths)\nDrydockThe two drydocks are sized to accommodate and repair V.L.C.C., one of the most frequent navigators in the Middle East or L.N.G. Carrier, together with a handy-sized vessel simultaneously at the same time. Also, the latest dock operation pump system has been adopted in design to fill or drain the docks within 3 to 5 hours so that turnover rate of dock operation can be optimized. Jib cranes with maximum lifting capacity of 100 tons are arranged in order to shorten the process of repair or conversion work for large vessels by allowing the use of larger blocks.\nQuay\nConvenience in berthing and mooring operation has been emphasized in the design of quay structures for consideration of frequent movement of vessels in the drydock and quay areas, and jib cranes with boom length greater than 70m are installed to provide crane support in case of simultaneous berthing of two vessels.\nAlso for Dolphin quay, since tank blasting and painting works mainly take place in this area, efforts were made in structural arrangement for efficient operation of painting equipments. Jib cranes with length of 70m are installed on the Quay Nos. 3 and 4 for simultaneous operation of crane that allow maximum crane support.\nSlop processing facilities and wastewater treatment systems are planned in the Quay No.5 area to enhance the tank cleaning work and various oily water treatment works for tankers."
"Navantia Reparaciones Cadiz San Fernando Spain ","www.navantia.es","+34 913 358 400","+34 913 358 652","CADIZ-SAN FERNANDO - Both yards are situated in the Cadiz bay. - Shiprepairs and conversion of all types of ships from ULCCs offshore units and seismic vessels. - Ideal shipyard for outer and inner coating both due to yard's sophisticated equipment and regional climatic conditions. - Large steel work capacity enhanced by the proximity to Puerto Real's newbuilding facilities. - Enjoys a strong Norwegian market\nNavantia Cadiz  \nGraving Dock No. 1  235 m  34.5 m  6.0 m  2 x 20 t, 1 x 50 t  Floating Dock No. 2  246 m  42.0 m  8.0 m  2 x 25 t  Graving Dock No. 4  385 m  66.6 m  8.2 m  4 x 100 t \nNavantia San Fernando  \nGraving Dock No. 1  73.5 m  14 m      Graving Dock No. 2  130 m  14.5 m      Graving Dock No. 3  58 m  9.0 m      Graving Dock No. 4  147 m  22.0 m"
"Talleres Navales del Golfo, S.A. de C.V Mexico shipyards. ","www.tnghph.com.mx","+52-229-9892500","+52-229-9892510","Talleres Navales del Golfo, S.A. de C.V. (TNG) is located on the Gulf of Mexico at Veracruz, Mexico's largest and busiest port.The yard provides full ship-repair services in addition to the fabrication of offshore platforms, modules, and components.\nThe TNG yard has the capacity to build and repair ships up to 80,000 deadweight tons. With a total work area of 344,000 m (85 acres), the yard offers a full range of ship repair services which includes conversion, upgrades, life extensions, maintenance and repair.\nDocks and Wharves\nShip Repair Drydock No. 2\n    * Length - 157 m (515 ft)    * Width - 23.50/19.51 m (77/64 ft)    * Depth - 5.2 m (17 ft)    * Water depth above blocks - 4.9 m (16 ft)    * Deadweight to 12,000 tons    * Level luffing jib crane - 25 Metric Tons Capacity\nShip Repair Drydock No. 5\n    * Length - 271 m (890 ft)    * Width - 36 m (118 ft)    * Depth - 6.5 m (21 ft)    * Water depth above blocks - 5.18 m (17 ft)    * Deadweight to 80,000 tons    * Level luffing jib crane (4 each) - 100 Metric Tons Capacity\nShip Repair and Outfitting Wharves\n    * 1,250 m (4,100 ft)    * Level luffing crane (4 each) - 15 Metric Tons"
"ESTALEIRO MAUA ","www.estaleiromaua.ind.br","(55-21) 2613-9999, 2613-9961","(55-21) 2719-1392","Dry Dock  167 mtrs x 22.5     60,000 dwt\nQuays Length (m)  Draft (m)  1     380       82     306       6"
"Sembmarine Kakinada Ltd (SKL) India ","www.sembmarine.com/global-network/subsidiaries/Kakinada","+91 884 237 8502","","Sembmarine Kakinada Ltd (SKL), a joint-venture between Sembawang Shipyard Pte Ltd and Kakinada Seaports Limited, is an integrated marine and offshore facility strategically located in the East Coast of India, one of the world's key oil and gas exploration areas.\nSKL is operating within the vicinity of Kakinada Seaports and will be developed in 3 phases to offer shipowners and offshore operators a one-stop integrated offshore service facility for the repairs and servicing of offshore vessels and ships, newbuildings, oil and gas riser/equipment repairs as well as platforms and modules fabrication.\n\n\nFacilities\nTypeLengthWidth internalDraftLifting CapacityCrane\n\n\n\nFloating Dock\n190.0m\n36.4m\n6.0m\n13,500 tons\n2 x 15 tons\n\n\n\nFully equipped repair berths totally 630 m, draft upto 12.0 metres. Cranes up 250 tons."
